handle,title,Body (HTML),vendor,Type,Tags,Published,sku,Variant Barcode,Image Src,Author,YearLevel
Always Late,Always Late,<BR>This lovely story tells the tale of Abby and James being late because their dad's watch is off time. How will it be resolved? And what is the twist at the end?<BR><BR><BR><I>Comprehension Skill: Identifying Detail</I><BR><I>Text Type: Literary Recount</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291391,9781420291391,,Peter Millett,"1"
Park Life  ,Park Life  ,<BR>Take a look at life in an African wildlife park. What a place!<BR><FONT color=#ffffff>lll</FONT><BR><B>Contents</B><BR>Wild Africa<BR>Rangers<BR>Studying the Animals<BR>Guests at the Park<BR>Baby Elephants<BR>Baby Gorillas<BR><BR><I>Comprehension Skill: Main Idea</I><BR><I>Text Type: Information Report</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291407,9781420291407,,Sarah Edwards,"1"
Storm! ,Storm! ,"<BR>There's a big storm coming. Will Jake, Bella and Mum make it home safely or will the hail threaten their journey home?<BR><BR><I>Comprehension Skill: Sequencing</I><BR><I>Text Type: Literary Recount</I><BR>",MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291414,9781420291414,,Pam Rushby,"1"
T-Rex and Apatosaurus,T-Rex and Apatosaurus,<BR>A fascinating introduction to two powerful dinosaurs. A 'must' for all dinosaur fans.<BR><B><FONT color=#ffffff>ggg</FONT></B><BR><B>Contents</B><BR>Two Dinosaurs<BR>Dinosaur Food<BR>Dinosaur Jaws<BR>Dinosaur Teeth<BR>Big Dinosaurs<BR>No More Dinosaurs<BR><BR><BR><BR><I>Comprehension Skill: Compare and Contrast</I><BR><I>Text Type: Factual Description</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291421,9781420291421,,Jonny Webster,"1"
Springboard into Comprehension Level 11 Pack,Springboard into Comprehension Level 11 Pack,<BR>This pack contains one of each of the four titles in <I>Springboard Into Comprehension Level 1</I><I>1</I>.<BR><FONT color=#ffffff>nnnn</FONT><BR><I>Always Late</I><BR><I>Park Life</I><BR><I>Storm!</I><BR><I>T-Rex and Apatasaurus</I><BR><BR><BR>,MEA,Pack with multiple titles,"Primary,English,Springboard into Comprehension",TRUE,9781420292145,9781420292145,,Various,"1"
Springboard into Comprehension Level 11 Classroom Value Pack ,Springboard into Comprehension Level 11 Classroom Value Pack ,<BR>This pack contains 6 of each of the four titles in <B>Springboard Into Comprehension Level 11</B>. Great for the classroom!<BR><FONT color=#ffffff>nnnn</FONT><BR><I>Always Late</I><BR><I>Park Life</I><BR><I>Storm!</I><BR><I>T-Rex and Apatasaurus</I><BR><BR>,MEA,Mixtures Pack,"Primary,English,Springboard into Comprehension",TRUE,9992101012376,9992101012376,,Various,"1"
Health Workers Help,Health Workers Help,<BR>Discover the importance of health workers and how they help those in towns far away from the city.<BR><BR><B>Contents</B><BR>A Long Way From the City<BR>A Special Van<BR>Special Machines<BR>When Something Is Wrong<BR>Picture Glossary<BR><BR><I>Comprehension Skill: Identifying detail</I><BR><I>Text Type: Information Report</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291438,9781420291438,,Pam Rushby,"1"
Playing by the Rules ,Playing by the Rules ,<BR>Little Monkey is up to mischief and doesn't want to follow the rules. Find out what happens when Little Monkey goes too far.<BR><BR><I>Comprehension Skill: Main Idea</I><BR><I>Text Type: Narrative</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291445,9781420291445,,Jack Gabolinscy,"1"
 Fruit Feast , Fruit Feast ,"<BR>Learn how to make delicious fruity treats, including banana smoothie, watermelon cookies, fruit kebabbs and frozen faces!<BR><BR><I>Comprehension Skill: Sequencing</I><BR><I>Text Type: Procedure</I><BR>",MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291452,9781420291452,,Victoria St John,"1"
Grandparents' Day,Grandparents' Day,<BR>It's Grandparent's Day at school. Discover how Grandma's time at school was different to Maria's.<BR><BR><I>Comprehension Skill: Compare and Contrast</I><BR><I>Text Type: Narrative</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291469,9781420291469,,Greta Mackie,"1"
Springboard into Comprehension Level 12 Pack ,Springboard into Comprehension Level 12 Pack ,<BR>This pack contains one of each of the four titles in <I>Springboard Into Comprehension Level 1</I><I>1</I>.<BR><FONT color=#ffffff>nnnn</FONT><BR><I>Fruit Feast</I><BR><I>Grandparents' Day</I><BR><I>Health Workers Help</I><BR><I>Playing by the Rules</I><BR><BR><BR>,MEA,Pack with multiple titles,"Primary,English,Springboard into Comprehension",TRUE,9781420292152,9781420292152,,Various,"1"
Springboard into Comprehension Level 12 Classroom Value Pack ,Springboard into Comprehension Level 12 Classroom Value Pack ,<BR>This pack contains 6 of each of the four titles in <B>Springboard Into Comprehension Level 12</B>. Great for the classroom!<BR><FONT color=#ffffff>nnnn</FONT><BR><I>Fruit Feast</I><BR><I>Grandparents' Day</I><BR><I>Health Workers Help</I><BR><I>Playing by the Rules</I><BR><BR><BR>,MEA,Mixtures Pack,"Primary,English,Springboard into Comprehension",TRUE,9992101012383,9992101012383,,Various,"1"
Animal Antics,Animal Antics,"<BR>Join Tom the tiger, Max the monkey and Mara the meerkat for a game of bat and ball in the hot, hot heat.<BR><BR><I>Comprehension Skill: Identifying Detail</I><BR><I>Text Type: Literary Recount</I><BR><BR>",MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291476,9781420291476,,Peter Millett,"1"
Places on Earth,Places on Earth,<BR>Take a look at the variety of places there are on Earth and the creatures that live in them.<BR><FONT color=#ffffff>lll</FONT><BR><B>Contents</B><BR>Deserts<BR>Grasslands<BR>Forests<BR>Wetlands<BR>Oceans<BR>Mountains<BR><BR><I>Comprehension Skill: Main Idea</I><BR><I>Text Type: Information Report</I><BR><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291483,9781420291483,,Greg Pyers,"1"
Super Saver!,Super Saver!,<BR>Enjoy the tale of Super Saver and his plots to help his parents save money. But will his parents appreciate his tips?<BR><BR><I>Comprehension Skill: Sequencing</I><BR><I>Text Type: Narrative</I><BR><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291490,9781420291490,,Jack Gabolinscy,"1"
Kestrels and Kakapos,Kestrels and Kakapos,"<BR>Compare and contrast the difference between two birds, icluding how they live, what they eat and how they lay eggs.<BR><BR><B>Contents</B><BR>Introduction<BR>What Kind of Bird?<BR>Where Do Kestrels and Kakapos Live?<BR>Food<BR>Eggs<BR>Chicks<BR>Picture Glossary<BR><BR><I>Comprehension Skill: Compare and Contrast</I><BR><I>Text Type: Information Report</I><BR><BR>",MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420291506,9781420291506,,Greg Pyers,"1"
Springboard into Comprehension Level 13 Pack ,Springboard into Comprehension Level 13 Pack ,<BR>This pack contains one of each of the four titles in <I>Springboard Into Comprehension Level 13</I>.<BR><FONT color=#ffffff>nnnn</FONT><BR><I>Animal Antics</I><BR><I>Kestrels and Kakapos</I><BR><I>Places on Earth</I><BR><I>Super Saver!</I><BR>,MEA,Pack with multiple titles,"Primary,English,Springboard into Comprehension",TRUE,9781420292169,9781420292169,,Various,"1"
Springboard into Comprehension Level 13 Classroom Value Pack ,Springboard into Comprehension Level 13 Classroom Value Pack ,<BR>This pack contains 6 of each of the four titles in <B>Springboard Into Comprehension Level 13</B>. Great for the classroom!<BR><FONT color=#ffffff>nnnn</FONT><BR><I>Animal Antics</I><BR><I>Kestrels and Kakapos</I><BR><I>Places on Earth</I><BR><I>Super Saver!</I><BR><BR>,MEA,Mixtures Pack,"Primary,English,Springboard into Comprehension",TRUE,9992101012390,9992101012390,,Various,"1"
Camels,Camels,<BR>Camels are fascinating animals! Learn about the camel in this fascinating book.<BR><BR><B>Contents:</B><BR>Introduction<BR>Camels' Bodies<BR>Camels' Humps<BR>What Camels Eat<BR>What Camels Drink<BR>How Camels Move<BR>How Camels Are Useful<BR>Training Camels<BR>Glossary<BR>Index<BR><BR><I>Comprehension Skill: Identifying Detail</I><BR><I>Text Type: Factual Description</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265217,9781420265217,,Caroline West,"2"
The Perfect Pie - Main Idea,The Perfect Pie - Main Idea,<BR>Hmmm...yum! Pie! Find out how Donald made the perfect pie for the school cake sale!<BR><BR><I>Comprehension Skill: Main Idea</I><BR><I>Text type: Narrative</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265224,9781420265224,,Kurt Badger,"2"
The Mystery of the Green Budgie,The Mystery of the Green Budgie,<BR>Bill and Mike have found a green budgie. But where did it come from? Let's find out!<BR><BR><I>Comprehension Skill: Sequencing</I><BR><I>Text type: Narrative</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265231,9781420265231,,Ti Andersen,"2"
Toads and Frogs,Toads and Frogs,<BR>Learn all about toads and frogs in this interesting book. Great pictures!<BR><BR><B>Contents:</B><BR>Introduction<BR>Toad and Frog Bodies<BR>Food<BR>Night Life<BR>Eggs and Tadpoles<BR>Keeping Safe<BR>Cane Toads<BR>Goliath Frogs<BR>Threats to Toads and Frogs<BR>Glossary <BR>Index<BR><BR><I>Comprehension Skill: Compare and Contrast</I><BR><I>Text Type: Information Report</I><BR>,MEA,Paperback,"Primary,English,Springboard into Comprehension",TRUE,9781420265248,9781420265248,,Victoria St John,"2"
